TIME(s)	'pip2,ap2'	'ap2,trans'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0.00322	38	20	0	0	0	0	0	0	0	58
0.00323	39	20	0	0	0	0	0	0	0	59
0.00324	39	20	0	0	0	0	0	0	0	59
0.00325	39	20	0	0	0	0	0	0	0	59
0.00326	39	20	0	0	0	0	0	0	0	59
0.00327	39	20	0	0	0	0	0	0	0	59
0.00328	39	20	0	0	0	0	0	0	0	59
0.00329	39	20	0	0	0	0	0	0	0	59
0.0033	39	21	0	0	0	0	0	0	0	60
0.00331	39	21	0	0	0	0	0	0	0	60
0.00332	39	21	0	0	0	0	0	0	0	60
0.00333	39	21	0	0	0	0	0	0	0	60
0.00334	39	22	0	0	0	0	0	0	0	61
0.00335	39	22	0	0	0	0	0	0	0	61
0.00336	39	22	0	0	0	0	0	0	0	61
0.00337	39	22	0	0	0	0	0	0	0	61
0.00338	39	22	0	0	0	0	0	0	0	61
0.00339	39	23	0	0	0	0	0	0	0	62
0.0034	39	23	0	0	0	0	0	0	0	62
0.00341	39	23	0	0	0	0	0	0	0	62
0.00342	39	23	0	0	0	0	0	0	0	62
0.00343	40	23	0	0	0	0	0	0	0	63
0.00344	40	23	0	0	0	0	0	0	0	63
0.00345	40	23	0	0	0	0	0	0	0	63
0.00346	40	23	0	0	0	0	0	0	0	63
0.00347	40	23	0	0	0	0	0	0	0	63
0.00348	40	23	0	0	0	0	0	0	0	63
0.00349	40	23	0	0	0	0	0	0	0	63
0.0035	40	23	0	0	0	0	0	0	0	63
0.00351	41	24	0	0	0	0	0	0	0	65
0.00352	41	24	0	0	0	0	0	0	0	65
0.00353	41	25	0	0	0	0	0	0	0	66
0.00354	41	25	0	0	0	0	0	0	0	66
0.00355	41	25	0	0	0	0	0	0	0	66
0.00356	41	25	0	0	0	0	0	0	0	66
0.00357	41	25	0	0	0	0	0	0	0	66
0.00358	41	25	0	0	0	0	0	0	0	66
0.00359	41	25	0	0	0	0	0	0	0	66
0.0036	41	25	0	0	0	0	0	0	0	66
0.00361	41	25	0	0	0	0	0	0	0	66
0.00362	41	25	0	0	0	0	0	0	0	66
0.00363	41	25	0	0	0	0	0	0	0	66
0.00364	41	25	0	0	0	0	0	0	0	66
0.00365	41	25	0	0	0	0	0	0	0	66
0.00366	41	25	0	0	0	0	0	0	0	66
0.00367	42	25	0	0	0	0	0	0	0	67
0.00368	43	25	0	0	0	0	0	0	0	68
0.00369	43	25	0	0	0	0	0	0	0	68
0.0037	42	26	0	0	0	0	0	0	0	69
0.00371	42	25	0	0	0	0	0	0	0	69
0.00372	42	25	0	0	0	0	0	0	0	69
0.00373	43	25	0	0	0	0	0	0	0	70
0.00374	43	25	0	0	0	0	0	0	0	70
0.00375	43	25	0	0	0	0	0	0	0	70
0.00376	43	25	0	0	0	0	0	0	0	70
0.00377	43	25	0	0	0	0	0	0	0	70
0.00378	43	25	0	0	0	0	0	0	0	70
0.00379	43	25	0	0	0	0	0	0	0	70
0.0038	43	25	0	0	0	0	0	0	0	70
0.00381	43	25	0	0	0	0	0	0	0	70
0.00382	43	25	0	0	0	0	0	0	0	70
0.00383	43	25	0	0	0	0	0	0	0	70
0.00384	43	25	0	0	0	0	0	0	0	70
0.00385	43	25	0	0	0	0	0	0	0	70
0.00386	43	25	0	0	0	0	0	0	0	70
0.00387	43	25	0	0	0	0	0	0	0	70
0.00388	43	25	0	0	0	0	0	0	0	70
0.00389	43	25	0	0	0	0	0	0	0	70
0.0039	44	25	0	0	0	0	0	0	0	71
0.00391	45	25	0	0	0	0	0	0	0	72
0.00392	45	25	0	0	0	0	0	0	0	72
0.00393	45	25	0	0	0	0	0	0	0	72
0.00394	45	25	0	0	0	0	0	0	0	72
0.00395	45	25	0	0	0	0	0	0	0	72
0.00396	45	26	0	0	0	0	0	0	0	73
0.00397	45	26	0	0	0	0	0	0	0	73
0.00398	45	27	0	0	0	0	0	0	0	74
0.00399	45	27	0	0	0	0	0	0	0	74
0.004	45	26	0	0	0	0	0	0	0	74
0.00401	45	26	0	0	0	0	0	0	0	74
0.00402	45	26	0	0	0	0	0	0	0	74
0.00403	45	26	0	0	0	0	0	0	0	74
