TIME(s)	'pip2,ap2'	'ap2,trans'	'ap2,aak1'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0.00231	82	0	74	0	0	0	0	0	0	0	249
0.00232	82	0	74	0	0	0	0	0	0	0	250
0.00233	82	0	73	0	0	0	0	0	0	0	250
0.00234	83	0	74	0	0	0	0	0	0	0	252
0.00235	84	0	74	0	0	0	0	0	0	0	253
0.00236	84	0	74	0	0	0	0	0	0	0	253
0.00237	84	0	74	0	0	0	0	0	0	0	253
0.00238	85	0	75	0	0	0	0	0	0	0	255
0.00239	85	0	76	0	0	0	0	0	0	0	257
0.0024	85	0	76	0	0	0	0	0	0	0	257
0.00241	85	0	76	0	0	0	0	0	0	0	257
0.00242	86	0	78	0	0	0	0	0	0	0	261
0.00243	87	0	78	0	0	0	0	0	0	0	262
0.00244	87	0	78	0	0	0	0	0	0	0	262
0.00245	87	0	77	0	0	0	0	0	0	0	262
0.00246	87	0	78	0	0	0	0	0	0	0	264
0.00247	88	0	78	0	0	0	0	0	0	0	266
0.00248	88	0	78	0	0	0	0	0	0	0	266
0.00249	88	0	78	0	0	0	0	0	0	0	268
0.0025	89	0	78	0	0	0	0	0	0	0	269
0.00251	89	0	78	0	0	0	0	0	0	0	270
0.00252	89	0	77	0	0	0	0	0	0	0	271
0.00253	89	0	78	0	0	0	0	0	0	0	272
0.00254	89	0	77	0	0	0	0	0	0	0	272
0.00255	89	0	77	0	0	0	0	0	0	0	272
0.00256	89	0	77	0	0	0	0	0	0	0	274
0.00257	90	0	77	0	0	0	0	0	0	0	275
0.00258	90	0	78	0	0	0	0	0	0	0	276
0.00259	90	0	80	0	0	0	0	0	0	0	278
0.0026	90	0	79	0	0	0	0	0	0	0	278
0.00261	90	0	79	0	0	0	0	0	0	0	278
0.00262	91	0	78	0	0	0	0	0	0	0	279
0.00263	91	0	78	0	0	0	0	0	0	0	281
0.00264	91	0	78	0	0	0	0	0	0	0	281
0.00265	91	0	80	0	0	0	0	0	0	0	283
0.00266	91	0	80	0	0	0	0	0	0	0	286
0.00267	91	0	80	0	0	0	0	0	0	0	287
0.00268	91	0	79	0	0	0	0	0	0	0	287
0.00269	92	0	79	0	0	0	0	0	0	0	288
0.0027	92	0	80	0	0	0	0	0	0	0	289
0.00271	93	0	80	0	0	0	0	0	0	0	291
0.00272	94	0	80	0	0	0	0	0	0	0	292
0.00273	94	0	80	0	0	0	0	0	0	0	292
0.00274	94	0	81	0	0	0	0	0	0	0	293
0.00275	94	0	81	0	0	0	0	0	0	0	293
0.00276	94	0	81	0	0	0	0	0	0	0	295
0.00277	94	0	79	0	0	0	0	0	0	0	295
0.00278	94	0	80	0	0	0	0	0	0	0	296
0.00279	94	0	80	0	0	0	0	0	0	0	296
0.0028	96	0	81	0	0	0	0	0	0	0	299
0.00281	96	0	81	0	0	0	0	0	0	0	299
0.00282	96	0	83	0	0	0	0	0	0	0	302
0.00283	96	0	82	0	0	0	0	0	0	0	303
0.00284	96	0	83	0	0	0	0	0	0	0	307
0.00285	96	0	83	0	0	0	0	0	0	0	308
0.00286	96	0	82	0	0	0	0	0	0	0	308
0.00287	96	0	83	0	0	0	0	0	0	0	309
0.00288	97	0	83	0	0	0	0	0	0	0	311
0.00289	98	0	84	0	0	0	0	0	0	0	313
0.0029	98	0	85	0	0	0	0	0	0	0	314
0.00291	98	0	86	0	0	0	0	0	0	0	316
0.00292	99	0	87	0	0	0	0	0	0	0	318
0.00293	99	0	87	0	0	0	0	0	0	0	320
0.00294	99	0	87	0	0	0	0	0	0	0	320
0.00295	100	0	89	0	0	0	0	0	0	0	323
0.00296	101	0	88	0	0	0	0	0	0	0	324
0.00297	101	0	88	0	0	0	0	0	0	0	325
0.00298	103	0	88	0	0	0	0	0	0	0	327
0.00299	103	0	87	0	0	0	0	0	0	0	328
0.003	103	0	87	0	0	0	0	0	0	0	330
0.00301	104	0	89	0	0	0	0	0	0	0	333
0.00302	104	0	89	0	0	0	0	0	0	0	334
0.00303	104	0	90	0	0	0	0	0	0	0	336
0.00304	103	0	89	0	0	0	0	0	0	0	337
0.00305	103	0	89	0	0	0	0	0	0	0	337
0.00306	103	0	89	0	0	0	0	0	0	0	338
0.00307	104	0	88	0	0	0	0	0	0	0	340
0.00308	105	0	88	0	0	0	0	0	0	0	341
0.00309	105	0	87	0	0	0	0	0	0	0	341
0.0031	105	0	87	0	0	0	0	0	0	0	341
0.00311	105	0	87	0	0	0	0	0	0	0	341
0.00312	105	0	85	0	0	0	0	0	0	0	341
0.00313	105	0	85	0	0	0	0	0	0	0	341
0.00314	105	0	86	0	0	0	0	0	0	0	343
0.00315	105	0	87	0	0	0	0	0	0	0	345
0.00316	105	0	88	0	0	0	0	0	0	0	346
0.00317	105	0	88	0	0	0	0	0	0	0	346
0.00318	107	0	88	0	0	0	0	0	0	0	348
0.00319	107	0	88	0	0	0	0	0	0	0	349
0.0032	107	0	88	0	0	0	0	0	0	0	350
0.00321	107	0	87	0	0	0	0	0	0	0	351
0.00322	107	0	89	0	0	0	0	0	0	0	355
0.00323	107	0	90	0	0	0	0	0	0	0	356
0.00324	107	0	89	0	0	0	0	0	0	0	356
0.00325	107	0	90	0	0	0	0	0	0	0	357
0.00326	107	0	89	0	0	0	0	0	0	0	357
0.00327	107	0	87	0	0	0	0	0	0	0	357
0.00328	107	0	88	0	0	0	0	0	0	0	359
0.00329	107	0	88	0	0	0	0	0	0	0	360
0.0033	107	0	89	0	0	0	0	0	0	0	362
0.00331	107	0	90	0	0	0	0	0	0	0	364
0.00332	107	0	90	0	0	0	0	0	0	0	365
0.00333	107	0	89	0	0	0	0	0	0	0	365
0.00334	110	0	90	0	0	0	0	0	0	0	371
0.00335	110	0	90	0	0	0	0	0	0	0	371
0.00336	110	0	92	0	0	0	0	0	0	0	374
0.00337	110	0	90	0	0	0	0	0	0	0	374
0.00338	109	0	93	0	0	0	0	0	0	0	380
0.00339	110	0	91	0	0	0	0	0	0	0	381
0.0034	110	0	91	0	0	0	0	0	0	0	381
0.00341	110	0	90	0	0	0	0	0	0	0	381
