Time (s),pip2(ap2),ap2(a),ap2(b),ap2(#ref),trans(ap2),trans(#pip2),trans(#ref),ap2(b!1).pip2(ap2!1),ap2(a!1).trans(ap2!1)
0.00338,875,436,375,500,36,100,100,125,64
0.00339,875,436,375,500,36,100,100,125,64
0.0034,875,436,375,500,36,100,100,125,64
0.00341,874,436,374,500,36,100,100,126,64
0.00342,874,436,374,500,36,100,100,126,64
0.00343,874,436,374,500,36,100,100,126,64
0.00344,874,435,374,500,35,100,100,126,65
0.00345,874,435,374,500,35,100,100,126,65
0.00346,874,435,374,500,35,100,100,126,65
0.00347,874,434,374,500,34,100,100,126,66
0.00348,874,433,374,500,33,100,100,126,67
0.00349,874,433,374,500,33,100,100,126,67
0.0035,874,432,374,500,32,100,100,126,68
0.00351,873,432,373,500,32,100,100,127,68
0.00352,873,432,373,500,32,100,100,127,68
0.00353,873,432,373,500,32,100,100,127,68
0.00354,872,432,372,500,32,100,100,128,68
0.00355,872,432,372,500,32,100,100,128,68
0.00356,870,433,370,500,33,100,100,130,67
0.00357,870,433,370,500,33,100,100,130,67
0.00358,870,433,370,500,33,100,100,130,67
0.00359,870,433,370,500,33,100,100,130,67
0.0036,869,433,369,500,33,100,100,131,67
0.00361,869,433,369,500,33,100,100,131,67
0.00362,868,433,368,500,33,100,100,132,67
0.00363,868,433,368,500,33,100,100,132,67
0.00364,867,433,367,500,33,100,100,133,67
0.00365,866,432,366,500,32,100,100,134,68
0.00366,866,432,366,500,32,100,100,134,68
0.00367,865,431,365,500,31,100,100,135,69
0.00368,864,431,364,500,31,100,100,136,69
0.00369,864,431,364,500,31,100,100,136,69
0.0037,864,431,364,500,31,100,100,136,69
0.00371,864,431,364,500,31,100,100,136,69
0.00372,864,431,364,500,31,100,100,136,69
0.00373,864,431,364,500,31,100,100,136,69
0.00374,864,431,364,500,31,100,100,136,69
0.00375,864,431,364,500,31,100,100,136,69
0.00376,864,431,364,500,31,100,100,136,69
0.00377,863,431,363,500,31,100,100,137,69
0.00378,862,429,362,500,29,100,100,138,71
0.00379,862,429,362,500,29,100,100,138,71
0.0038,861,429,361,500,29,100,100,139,71
0.00381,861,429,361,500,29,100,100,139,71
0.00382,861,429,361,500,29,100,100,139,71
0.00383,861,429,361,500,29,100,100,139,71
0.00384,861,429,361,500,29,100,100,139,71
0.00385,861,428,361,500,28,100,100,139,72
0.00386,861,428,361,500,28,100,100,139,72
