Time (s): 0
11	pip2: 1. ap2: 1. 
Time (s): 0.00095
962	pip2: 1. 
472	trans: 1. 
462	ap2: 1. 
28	pip2: 1. ap2: 1. trans: 1. 
10	pip2: 1. ap2: 1. 
Time (s): 0.00096
962	pip2: 1. 
472	trans: 1. 
462	ap2: 1. 
28	pip2: 1. ap2: 1. trans: 1. 
10	pip2: 1. ap2: 1. 
Time (s): 0.00097
961	pip2: 1. 
471	trans: 1. 
461	ap2: 1. 
29	pip2: 1. ap2: 1. trans: 1. 
10	pip2: 1. ap2: 1. 
Time (s): 0.00098
961	pip2: 1. 
468	trans: 1. 
461	ap2: 1. 
32	pip2: 1. ap2: 1. trans: 1. 
7	pip2: 1. ap2: 1. 
Time (s): 0.00099
961	pip2: 1. 
468	trans: 1. 
461	ap2: 1. 
32	pip2: 1. ap2: 1. trans: 1. 
7	pip2: 1. ap2: 1. 
Time (s): 0.001
961	pip2: 1. 
467	trans: 1. 
461	ap2: 1. 
33	pip2: 1. ap2: 1. trans: 1. 
6	pip2: 1. ap2: 1. 
Time (s): 0.00101
961	pip2: 1. 
467	trans: 1. 
461	ap2: 1. 
33	pip2: 1. ap2: 1. trans: 1. 
6	pip2: 1. ap2: 1. 
Time (s): 0.00102
961	pip2: 1. 
466	trans: 1. 
461	ap2: 1. 
34	pip2: 1. ap2: 1. trans: 1. 
5	pip2: 1. ap2: 1. 
Time (s): 0.00103
961	pip2: 1. 
466	trans: 1. 
461	ap2: 1. 
34	pip2: 1. ap2: 1. trans: 1. 
5	pip2: 1. ap2: 1. 
Time (s): 0.00104
961	pip2: 1. 
466	trans: 1. 
461	ap2: 1. 
34	pip2: 1. ap2: 1. trans: 1. 
5	pip2: 1. ap2: 1. 
Time (s): 0.00105
961	pip2: 1. 
466	trans: 1. 
461	ap2: 1. 
34	pip2: 1. ap2: 1. trans: 1. 
5	pip2: 1. ap2: 1. 
Time (s): 0.00106
960	pip2: 1. 
466	trans: 1. 
460	ap2: 1. 
34	pip2: 1. ap2: 1. trans: 1. 
6	pip2: 1. ap2: 1. 
Time (s): 0.00107
960	pip2: 1. 
466	trans: 1. 
460	ap2: 1. 
34	pip2: 1. ap2: 1. trans: 1. 
6	pip2: 1. ap2: 1. 
Time (s): 0.00108
960	pip2: 1. 
466	trans: 1. 
460	ap2: 1. 
34	pip2: 1. ap2: 1. trans: 1. 
6	pip2: 1. ap2: 1. 
Time (s): 0.00109
959	pip2: 1. 
466	trans: 1. 
459	ap2: 1. 
34	pip2: 1. ap2: 1. trans: 1. 
7	pip2: 1. ap2: 1. 
Time (s): 0.0011
959	pip2: 1. 
465	trans: 1. 
459	ap2: 1. 
35	pip2: 1. ap2: 1. trans: 1. 
6	pip2: 1. ap2: 1. 
Time (s): 0.00111
959	pip2: 1. 
465	trans: 1. 
459	ap2: 1. 
35	pip2: 1. ap2: 1. trans: 1. 
6	pip2: 1. ap2: 1. 
Time (s): 0.00112
959	pip2: 1. 
465	trans: 1. 
459	ap2: 1. 
35	pip2: 1. ap2: 1. trans: 1. 
6	pip2: 1. ap2: 1. 
Time (s): 0.00113
960	pip2: 1. 
465	trans: 1. 
459	ap2: 1. 
34	pip2: 1. ap2: 1. trans: 1. 
6	pip2: 1. ap2: 1. 
1	ap2: 1. trans: 1. 
Time (s): 0.00114
960	pip2: 1. 
465	trans: 1. 
459	ap2: 1. 
34	pip2: 1. ap2: 1. trans: 1. 
6	pip2: 1. ap2: 1. 
1	ap2: 1. trans: 1. 
Time (s): 0.00115
960	pip2: 1. 
464	trans: 1. 
